Aruba,Africa Eastern and Southern,Afghanistan,Africa Western and Central,Angola,Albania,Andorra,Arab World,United Arab Emirates,Argentina,Armenia,American Samoa,Antigua and Barbuda,Australia,Austria,Azerbaijan,Burundi,Belgium,Benin,Burkina Faso,Bangladesh,Bulgaria,Bahrain,"Bahamas, The",Bosnia and Herzegovina,Belarus,Belize,Bermuda,Bolivia,Brazil,Barbados,Brunei Darussalam,Bhutan,Botswana,Central African Republic,Canada,Central Europe and the Baltics,Switzerland,Channel Islands,Chile,China,Cote d'Ivoire,Cameroon,"Congo, Dem. Rep.","Congo, Rep.",Colombia,Comoros,Cabo Verde,Costa Rica,Caribbean small states,Cuba,Curacao,Cayman Islands,Cyprus,Czech Republic,Germany,Djibouti,Dominica,Denmark,Dominican Republic,Algeria,East Asia & Pacific (excluding high income),Early-demographic dividend,East Asia & Pacific,Europe & Central Asia (excluding high income),Europe & Central Asia,Ecuador,"Egypt, Arab Rep.",Euro area,Eritrea,Spain,Estonia,Ethiopia,European Union,Fragile and conflict affected situations,Finland,Fiji,France,Faroe Islands,"Micronesia, Fed. Sts.",Gabon,United Kingdom,Georgia,Ghana,Gibraltar,Guinea,"Gambia, The",Guinea-Bissau,Equatorial Guinea,Greece,Grenada,Greenland,Guatemala,Guam,Guyana,High income,"Hong Kong SAR, China",Honduras,Heavily indebted poor countries (HIPC),Croatia,Haiti,Hungary,IBRD only,IDA & IBRD total,IDA total,IDA blend,Indonesia,IDA only,Isle of Man,India,Not classified,Ireland,"Iran, Islamic Rep.",Iraq,Iceland,Israel,Italy,Jamaica,Jordan,Japan,Kazakhstan,Kenya,Kyrgyz Republic,Cambodia,Kiribati,St. Kitts and Nevis,"Korea, Rep.",Kuwait,Latin America & Caribbean (excluding high income),Lao PDR,Lebanon,Liberia,Libya,St. Lucia,Latin America & Caribbean,Least developed countries: UN classification,Low income,Liechtenstein,Sri Lanka,Lower middle income,Low & middle income,Lesotho,Late-demographic dividend,Lithuania,Luxembourg,Latvia,"Macao SAR, China",St. Martin (French part),Morocco,Monaco,Moldova,Madagascar,Maldives,Middle East & North Africa,Mexico,Marshall Islands,Middle income,North Macedonia,Mali,Malta,Myanmar,Middle East & North Africa (excluding high income),Montenegro,Mongolia,Northern Mariana Islands,Mozambique,Mauritania,Mauritius,Malawi,Malaysia,North America,Namibia,New Caledonia,Niger,Nigeria,Nicaragua,Netherlands,Norway,Nepal,Nauru,New Zealand,OECD members,Oman,Other small states,Pakistan,Panama,Peru,Philippines,Palau,Papua New Guinea,Poland,Pre-demographic dividend,Puerto Rico,"Korea, Dem. People's Rep.",Portugal,Paraguay,West Bank and Gaza,Pacific island small states,Post-demographic dividend,French Polynesia,Qatar,Romania,Russian Federation,Rwanda,South Asia,Saudi Arabia,Sudan,Senegal,Singapore,Solomon Islands,Sierra Leone,El Salvador,San Marino,Somalia,Serbia,Sub-Saharan Africa (excluding high income),South Sudan,Sub-Saharan Africa,Small states,Sao Tome and Principe,Suriname,Slovak Republic,Slovenia,Sweden,Eswatini,Sint Maarten (Dutch part),Seychelles,Syrian Arab Republic,Turks and Caicos Islands,Chad,East Asia & Pacific (IDA & IBRD countries),Europe & Central Asia (IDA & IBRD countries),Togo,Thailand,Tajikistan,Turkmenistan,Latin America & the Caribbean (IDA & IBRD countries),Timor-Leste,Middle East & North Africa (IDA & IBRD countries),Tonga,South Asia (IDA & IBRD),Sub-Saharan Africa (IDA & IBRD countries),Trinidad and Tobago,Tunisia,Turkey,Tuvalu,Tanzania,Uganda,Ukraine,Upper middle income,Uruguay,United States,Uzbekistan,St. Vincent and the Grenadines,"Venezuela, RB",British Virgin Islands,Virgin Islands (U.S.),Vietnam,Vanuatu,World,Samoa,Kosovo,"Yemen, Rep.",South Africa,Zambia,Zimbabwe
,20082715854.0,537777811.1,10404280784.0,,,,,,,,,,18606786874.0,6592693841.0,,195999990.0,11658722591.0,226195579.4,330442817.2,4274893913.0,,,169803921.6,,,28071888.56,84466654.08,373879363.6,17030465539.0,,,,30412308.99,112155598.9,40461721693.0,,9522746719.0,,4110000000.0,59716467625.0,546203561.6,614206071.0,3359404118.0,131731862.6,4031152977.0,,,507513830.0,1880306125.0,,,,,,,,,,672399700.0,2723593385.0,81340099380.0,156738000000.0,154612000000.0,,,2069465326.0,,244833000000.0,,12072126075.0,,,,,5224102196.0,112328422.1,62225478001.0,,,141468978.4,73233967692.0,,1217230038.0,,,,,,4335186017.0,,,1043599900.0,,170215248.2,1065820000000.0,1320796652.0,335650000.0,17418918605.0,,273187200.0,,323995000000.0,360379000000.0,37096406470.0,12063628121.0,,25827821262.0,,37029883875.0,,1939329775.0,4199134390.0,,248434097.0,2598500000.0,40385288344.0,699050679.0,,44307342950.0,,791265458.8,,637142865.7,,12366563.61,3958190759.0,,68849285943.0,,,,,,84505417300.0,,,,1409873950.0,91535268123.0,342303000000.0,34579308.41,187455000000.0,,703925705.9,,,,2037150716.0,,,673081724.1,,,13040000000.0,,330056000000.0,,,,,,,,,,,,162956740.9,1916241997.0,583846000000.0,,,449526872.6,4196092258.0,223854666.7,12276734172.0,5163271598.0,508334414.0,,5485854792.0,1080920000000.0,,,3749265015.0,537147100.0,2571908062.0,7515886651.0,,230496033.0,,21065947419.0,1691900000.0,,3193200404.0,,,,1047800000000.0,,,,,119000024.0,47170699607.0,,1307333333.0,1003692375.0,704756304.7,,322009471.6,,,180459936.8,,29946997990.0,,29958061945.0,,,99650000.0,,,15822585034.0,35076158.48,,12012012.01,857704413.4,,313582729.4,81224998645.0,,121128073.1,2760747472.0,,,79494964853.0,,,,47170699607.0,29958061945.0,535670127.7,,13995067818.0,,,423008385.7,,244203000000.0,1242289239.0,543300000000.0,,13066557.78,7779090909.0,,,,,1390300000000.0,,,,7575396973.0,713000000.0,1052990400.0
,20509450945.0,548888895.6,11128050589.0,,,,,,,,,,19683055213.0,7311749633.0,,202999992.0,12400145222.0,235668222.4,350247237.1,4817580184.0,,,190098039.2,,,29964370.71,89249986.7,406684585.7,17275940449.0,,,,32902336.64,123134584.5,40934952064.0,,10712712465.0,,4609727273.0,50056868958.0,618245639.2,652777613.6,3086746857.0,151675739.2,4540447761.0,,,490325181.6,2038301741.0,,,,,,,,,,654100200.0,2434727330.0,71608358396.0,157588000000.0,155148000000.0,,,1753850417.0,,268965000000.0,,13834300571.0,,,,,5921659485.0,116987784.9,67461644222.0,,,167637908.5,77741965703.0,,1302674264.0,,,,,,4961400439.0,,,1076699900.0,,185848451.3,1128190000000.0,1383681651.0,356200000.0,17870143017.0,,271066000.0,,309474000000.0,349088000000.0,39171910998.0,12910168929.0,,27069024092.0,,39232435784.0,,2088012282.0,4426949095.0,,253885656.3,3138500000.0,44842760293.0,748028839.4,,53508617739.0,,792959472.1,,642857134.3,,12483229.31,2417558289.0,,72140210276.0,,,,,,89564090129.0,,,,1444327731.0,96868817777.0,328875000000.0,35699286.01,173691000000.0,,704145671.4,,,,2025689537.0,,,699161943.9,,,14160000000.0,,316327000000.0,,,,584351384.4,,,,,,159213140.0,,174576508.5,1901868548.0,604324000000.0,,,485785234.9,4467200336.0,240524723.4,13493833740.0,5632460937.0,531959561.6,,5670064168.0,1136640000000.0,,,4118647627.0,599026300.0,2899654840.0,8171186334.0,,244832035.0,,21664470801.0,1865100000.0,,3417516639.0,,,,1107850000000.0,,,,,122000016.0,50331770781.0,,1419333333.0,1058975266.0,764634783.7,,327834680.6,,,191659914.4,,31117553149.0,,31128039841.0,,,107700000.0,,,17212686615.0,43025199.5,,11592011.59,945244972.1,,333975338.8,71507028612.0,,126396469.7,3034043574.0,,,84140069282.0,,,,50331770781.0,31128039841.0,584961208.7,,7988888889.0,,,441524109.0,,219626000000.0,1547388781.0,563300000000.0,,13999883.33,8189090909.0,,,,,1446420000000.0,,,,7972996814.0,696285714.3,1096646600.0
,22350432991.0,546666677.8,11943353288.0,,,,,,24450604878.0,,,,19922723709.0,7756110210.0,,213500006.0,13264015675.0,236434906.8,379567023.3,5081413340.0,,,212254902.0,,,31856922.86,94149985.97,444665186.4,19231747852.0,,,,35643207.63,124482748.9,42227447632.0,,11879982759.0,,5416272727.0,47209359006.0,645284344.7,694247725.5,3779841429.0,166521239.9,4955543963.0,,,479180824.3,2153895648.0,,,,,,,,,,824100000.0,2001428328.0,65391067390.0,162345000000.0,158364000000.0,,,1518208221.0,,298819000000.0,,16138545209.0,,,,,6340580854.0,122906435.0,75607529810.0,,,182796536.5,81247564157.0,,1382515590.0,,,,,9122751.453,5213047711.0,,,1143600000.0,,194948375.4,1217840000000.0,1612346412.0,387750000.0,19448655144.0,,281896800.0,,316983000000.0,360331000000.0,42212818827.0,13806056582.0,,29292286517.0,,42161481859.0,,2260349684.0,4693566416.0,1954634836.0,284916516.2,2510000000.0,50383891899.0,777712445.8,,60723018684.0,,868111400.0,,660000008.6,,12541562.15,2814318517.0,,78432996950.0,,,,,,98132677716.0,,,,1434156379.0,98412294102.0,337428000000.0,41859162.82,176932000000.0,,741509480.8,,,,2379606422.0,,,739286906.9,,,15200000000.0,,323058000000.0,,,,612517344.7,,,,,,164271590.8,,183116337.7,2001502679.0,647422000000.0,,,531736492.9,4909302954.0,265291588.7,14647057370.0,6066976683.0,574091101.2,,6077496268.0,1226900000000.0,,,4310163797.0,652120900.0,3286773188.0,4954529277.0,,261184037.4,,23716012711.0,2094400000.0,,3668222358.0,,,,1196190000000.0,,,,,125000008.0,53721519494.0,,1541666667.0,1085475573.0,826244610.0,,342721579.8,,,203531927.5,,33714083049.0,,33725538166.0,,,116150000.0,,,18667251380.0,45927061.46,,12642026.57,1110565881.0,,357635713.9,65298535416.0,,132237441.6,3308912797.0,,,92113796551.0,,,,53721519494.0,33725538166.0,619319197.3,,8922222222.0,,,449012578.6,,225124000000.0,1710004407.0,605100000000.0,,14524878.96,8946969697.0,,,,,1548220000000.0,,,,8497996604.0,693142857.1,1117601600.0
,26758657008.0,751111191.1,12676515454.0,,,,,,18272123664.0,,,,21539926084.0,8374175258.0,,232749998.0,14260017387.0,253927646.5,394040588.3,5319458351.0,,,237745098.0,,,33749405.01,96366652.3,478805990.1,23287712878.0,,,,38091150.57,129379097.9,45029988561.0,,13063643796.0,,5668187500.0,50706799903.0,761047045.8,718320701.4,6213185743.0,172233430.9,4836166667.0,,,511902136.8,2290313588.0,,,,,,,,,,940799900.0,2702960118.0,70837966442.0,172191000000.0,176704000000.0,,,1824344492.0,,335342000000.0,,19074913948.0,,,,,6885920329.0,129454728.6,84759195106.0,,,154480244.2,86561961812.0,,1540797517.0,,,,,10840095.13,5895278024.0,,,1262800000.0,,175756868.7,1311890000000.0,1935298266.0,410200000.0,23465052191.0,,294883400.0,,340014000000.0,389079000000.0,47440359755.0,14611896046.0,,33956035134.0,,48421923459.0,,2430843768.0,4928628018.0,1978437693.0,340061650.1,2992333333.0,57710743060.0,826690466.2,,69498131797.0,,926589348.6,,728571437.1,,12833226.39,3988784572.0,,79083194593.0,,,,,,100055000000.0,,,,1240672269.0,109495000000.0,364894000000.0,47039059.22,193666000000.0,,791140595.8,,,,2657247327.0,,,759345863.0,,,16960000000.0,,346356000000.0,,,,659976659.6,,,,,,168186331.3,,190816183.7,2510126748.0,683726000000.0,,,586294761.5,5165489010.0,292916241.1,15891241386.0,6510239503.0,496947904.4,,6638937283.0,1322450000000.0,,,4630827383.0,722784500.0,3600957771.0,5505055618.0,,275968039.5,,27638759802.0,2333600000.0,,3905734460.0,,,,1288520000000.0,,,,,128000000.0,60426255395.0,,1568333333.0,1122139637.0,917614007.6,,348546952.1,,,216145935.9,,38626103475.0,,38638594738.0,,,125950000.0,,,20204870630.0,54128377.43,,13923029.26,1200447408.0,,371767002.7,70737726806.0,,143255784.5,3540403457.0,,,93696328250.0,,,,60426255395.0,38638594738.0,678235373.0,,10355555556.0,,,516147798.7,,236170000000.0,1539681491.0,638600000000.0,,13708219.1,9753333333.0,,,,,1669090000000.0,,,,9423396235.0,718714285.7,1159511700.0
,24464990260.0,800000044.4,13838577015.0,,,,,,25605249382.0,,,,23801097547.0,9169983886.0,,260750008.0,15960106681.0,269818988.3,410321618.2,5386054619.0,,,266666666.7,,,36193826.12,107566650.6,539491477.3,20963733695.0,,,,41613969.05,142025069.5,49377522897.0,,14480556572.0,,5982347826.0,59708343489.0,921063266.4,776650126.2,2881545273.0,185693724.8,5973366667.0,,,542578367.2,2470264540.0,,,,,,,,,,1025599900.0,2909292864.0,81755910516.0,197296000000.0,202684000000.0,,,2244146868.0,,373024000000.0,,21343844644.0,,,,,7766655086.0,140032741.5,94007851047.0,,,215679855.3,94407558351.0,,1731296119.0,,,,,12712471.4,6669673257.0,,,1299099900.0,,194773376.9,1431970000000.0,2206466461.0,457000000.0,20962585729.0,,325281200.0,,384791000000.0,431555000000.0,46316953287.0,15945498103.0,,31226319629.0,,56480289941.0,,2766608946.0,5379845648.0,2340521143.0,434267936.9,3405333333.0,63175417019.0,897931401.4,,81749006382.0,,998759333.6,,782857128.6,,13416554.86,3458939358.0,,90634651703.0,,,,,,110927000000.0,,,,1309747899.0,122982000000.0,408688000000.0,51938961.22,212629000000.0,,903158753.9,,,,2798339769.0,,,802482182.9,,,20080000000.0,,394304000000.0,,,,475197381.9,,,,,,224495789.3,,194736105.3,2674441396.0,735285000000.0,,,582816358.3,5552822484.0,341973758.9,18699380731.0,7159202706.0,496098775.3,,7274144351.0,1445360000000.0,,,5204955901.0,776137500.0,4356913870.0,5953766854.0,,305312043.7,,25746879876.0,2570500000.0,,4235608178.0,,,,1405790000000.0,,,,,129999994.0,69179494304.0,,1611333333.0,1188930568.0,894159153.3,,371848114.7,,,229529912.7,,37722166313.0,,37736391379.0,,,134400000.0,,,22532416750.0,64979280.41,,15393032.35,1339494267.0,,392247517.6,81640221385.0,,166104067.6,3889129942.0,,,103891000000.0,,,,69179494304.0,37736391379.0,711893367.6,,11177777778.0,,,589056603.8,,271040000000.0,1975701816.0,685800000000.0,,14758210.35,8099318182.0,,,,,1827510000000.0,,,,10373995855.0,839428571.4,1217138000.0
,27878943636.0,1006666638.0,14862472886.0,,,,,,28344705967.0,,,,25977153097.0,9994070616.0,,158994963.0,17371457608.0,289908720.6,422916848.4,5906636557.0,,,300392156.9,,,40069930.07,114339049.0,604377104.4,22465522884.0,,114040245.7,,45790869.75,150574816.3,54515179581.0,,15346741670.0,,6026593750.0,70436266147.0,919771356.4,814083378.5,4043901818.0,198318063.9,5760761905.0,,,592981162.3,2660946063.0,,,,,,,,,,888100000.0,3136258897.0,95172561308.0,213681000000.0,225588000000.0,,,2387048255.0,4948667540.0,407740000000.0,,24756958695.0,,,,,8589340019.0,147084750.0,101537000000.0,,,226474285.6,101825000000.0,,2053462872.0,,,,,64748333.33,7689154053.0,,,1331399900.0,,213235294.1,1555050000000.0,2435078534.0,508650000.0,24482824415.0,,353251800.0,,422344000000.0,475140000000.0,52062026811.0,17314123646.0,,35798033953.0,,59554854575.0,,2945704143.0,6197319929.0,,523694949.4,3663333333.0,67978153851.0,972140557.2,599831979.8,90950278258.0,,997919320.0,,868571428.6,,13593932.32,3120833333.0,2097451694.0,98291097178.0,,,,,,119245000000.0,,,,1698319328.0,132801000000.0,451938000000.0,54878902.42,238939000000.0,,921600736.3,,,,2948325264.0,,,833563472.2,,,21840000000.0,,435013000000.0,,,,402619413.7,23810561532.0,,,,,255340526.7,,229455410.9,2956356984.0,798330000000.0,,159594492.3,673383604.2,5874422512.0,566542872.4,21000586933.0,8058681060.0,735267082.3,,5654463586.0,1568740000000.0,63287594.51,,5929231415.0,852485300.0,5166861068.0,6517304758.0,,344159480.3,,29018998918.0,2881500000.0,,4687464055.0,443587301.6,,,1527360000000.0,176534589.6,,,,148799980.0,74296512694.0,,1679333333.0,1210058396.0,974650463.9,,359379856.2,877720000.0,,243724533.2,,42015986758.0,,42030091116.0,,,154150000.0,,,24795499686.0,70278594.43,,15603032.8,1329842435.0,,416926303.0,95037886875.0,,187300336.4,4388937649.0,,,111548000000.0,,23598030672.0,,74296512694.0,42030091116.0,736568861.9,991047619.0,11966666667.0,,,884873949.6,,302822000000.0,1890769326.0,743700000000.0,,15108207.43,8427777778.0,,,,,1990870000000.0,,,,11334395471.0,1082857143.0,1311435800.0
,30313844064.0,1399999967.0,15832846881.0,,,,,,28630474728.0,,,,27309889125.0,10887682273.0,,165444571.4,18651883472.0,302925280.8,433889831.6,6439687598.0,,,340000000.0,,,44405594.41,134173373.8,669191919.2,28283323733.0,,132758395.4,,51464435.15,157930041.9,61088384037.0,,16480058705.0,,7072641026.0,76720285970.0,1024103034.0,851112662.7,4532660182.0,220613582.4,5428518519.0,,,647305630.2,2888647978.0,,,,,,,,,11931739859.0,983900000.0,3039834559.0,104069000000.0,210842000000.0,252070000000.0,,738711000000.0,2429309514.0,5278005612.0,444883000000.0,,28721062242.0,,,,,9208524505.0,150603925.5,110046000000.0,,,245849781.7,108573000000.0,,2126300573.0,,,44212353.7,,69110000.0,8591517944.0,,,1390700000.0,,228705882.4,1705900000000.0,2489845017.0,549950000.0,26660840619.0,,368948600.0,,435934000000.0,493655000000.0,56494440043.0,18833575076.0,,38793754890.0,,45865462034.0,,3104034393.0,6789938672.0,,628893310.4,3980000000.0,73654870011.0,1096738065.0,658078969.5,105628000000.0,,1164519673.0,,914285714.3,,14469078.18,3928908381.0,2391486978.0,108647000000.0,,,,,,131287000000.0,,,,1751470588.0,122153000000.0,468658000000.0,56698866.02,266160000000.0,,968440149.5,,,,2876395613.0,,,900264583.7,,,24320000000.0,,450148000000.0,,,,317816210.0,24818595393.0,,,,,266533659.2,,260394792.1,3143538482.0,876223000000.0,,164206536.3,702296184.4,6366792664.0,606671444.0,22867203317.0,8696460205.0,906811943.8,,5863733231.0,1721760000000.0,67768132.18,,6561108778.0,928833000.0,6113607728.0,7189017888.0,,390973233.3,,31873045223.0,3170500000.0,,5135387846.0,465888888.9,,,1675310000000.0,215659455.0,,,,124525702.9,62475116958.0,,1723000000.0,1246908374.0,1096432771.0,,375479849.8,929520000.0,,257374455.8,,45334984124.0,,45349759759.0,,,190350000.0,,,26971486546.0,76858462.83,,16443034.56,1321204503.0,,432794922.5,103921000000.0,,216136263.9,5279230817.0,,,122805000000.0,,24597066916.0,,62475116958.0,45349759759.0,723735635.5,1040952381.0,14100000000.0,,,925770308.1,,334626000000.0,1809183975.0,815000000000.0,,16099865.83,8781333333.0,,,,,2160630000000.0,,,,12354995063.0,1264285714.0,1281749500.0
,31375545887.0,1673333418.0,14426432397.0,,,,,,24256667553.0,,,,30444618658.0,11579431669.0,,178297142.9,19992040788.0,306222000.4,450753993.2,7253575399.0,,,390196078.4,,,47379310.34,155102984.6,755808080.8,31086389195.0,,139030445.6,,58646443.51,163820538.9,65668655501.0,,17740013179.0,,7013196078.0,72881631327.0,1082922892.0,936175404.6,3384063372.0,237397428.3,5825170438.0,,,699456618.9,3102515476.0,,,,,,,,,13059064375.0,1034800000.0,3370843066.0,100998000000.0,221487000000.0,273143000000.0,,795546000000.0,2553596092.0,5605484299.0,483419000000.0,,31647119228.0,,,,,9368954010.0,162625885.9,118973000000.0,,,271543680.3,113117000000.0,,1747187539.0,,,46695363.16,,72317446.93,9275600800.0,,,1453500000.0,,250176470.6,1830250000000.0,2692474989.0,598100000.0,26116080029.0,,369124200.0,,447456000000.0,505476000000.0,56939198533.0,18930353850.0,5667756645.0,39158109671.0,,50134942203.0,,3343636773.0,7555383690.0,,621225962.2,4030000000.0,81133120065.0,1148025407.0,631755810.7,123782000000.0,,1232559506.0,,962857134.3,,16742338.25,4855907142.0,2441893027.0,110643000000.0,,,,,,133958000000.0,,,,1859465021.0,130545000000.0,480161000000.0,59260814.78,267530000000.0,,974721762.5,,,,3046339295.0,,,956436931.1,,,26560000000.0,,462298000000.0,,275494520.1,,328182434.5,26868450259.0,,,,,282615367.5,,269814968.2,3188945512.0,927524000000.0,,180036767.5,665586975.1,5203135937.0,657171436.7,25087562181.0,9514496703.0,841974025.5,,5961418094.0,1848300000000.0,107152720.2,,7464510710.0,1034376400.0,6204253759.0,7724873935.0,,441706910.1,,30093890616.0,3532700000.0,,5740241166.0,492674603.2,,,1798410000000.0,220984369.1,,,,159560018.0,68733357253.0,,1865666667.0,1246480959.0,1238043904.0,25203524.03,348795303.0,976200000.0,,271780364.8,,44817735534.0,,44832767020.0,,,220700000.0,,,29275995675.0,74758504.83,,16632032.81,1443717801.0,,449826323.0,100855000000.0,,231706475.5,5638461442.0,,,124962000000.0,,26628624968.0,,68733357253.0,44832767020.0,761981474.0,1085714286.0,15644444444.0,,,967647058.8,,336560000000.0,1597721080.0,861700000000.0,,15835177.93,9250000000.0,,,,,2298980000000.0,,,,13777394495.0,1368000000.0,1397002000.0
,34187176314.0,1373333367.0,14880350847.0,,,,35087069740.0,,26436857247.0,,,,32716989584.0,12440625313.0,,183200000.0,21376353113.0,326323097.4,460442678.2,7483685474.0,,,444901960.8,,,44910179.64,150000000.0,857912457.9,33930457425.0,,160819286.6,,66248256.62,191767437.0,71829810520.0,,18942729779.0,,7167086957.0,70846535056.0,1281281246.0,1046191192.0,3909780539.0,251247458.0,5960212869.0,,,773841494.3,3083590687.0,,,,,,,,,13505573867.0,1079100000.0,3852115817.0,102270000000.0,239948000000.0,301161000000.0,,832191000000.0,2582180794.0,5932242991.0,518992000000.0,,31475548481.0,,,,39863693121.0,8823033880.0,166952937.1,129785000000.0,,,294468564.5,107760000000.0,,1666910166.0,,,41160658.57,,67514285.71,10090675903.0,,,1610500000.0,,229750000.0,1984780000000.0,2716964388.0,646800000.0,27635788373.0,,367968800.0,,472298000000.0,533436000000.0,60012196796.0,19982313523.0,7076465295.0,41237121777.0,,53085455871.0,,3278584478.0,8623172960.0,2896947634.0,474399471.6,4619000000.0,87942231678.0,1083883355.0,561187342.5,146601000000.0,,1353295458.0,,1065714249.0,,14600000.0,6119284294.0,2663119574.0,119031000000.0,,,,,,143782000000.0,,,,1801344538.0,140767000000.0,506863000000.0,61444771.1,272280000000.0,,1066447131.0,,,,3271415868.0,,,1031669636.0,,44425424090.0,29360000000.0,,488167000000.0,,343771964.7,,531186357.4,29559954296.0,,,,,311396000.3,,245169806.8,3330393310.0,1014480000000.0,,215507162.4,641214210.7,5200895982.0,695899980.4,27817605743.0,10159934137.0,772228643.4,,5180597621.0,2004940000000.0,188864890.8,,8041999160.0,1112791100.0,5736083835.0,8632749269.0,,485160824.3,,31718919579.0,3941700000.0,,6354262628.0,517650793.7,,,1950700000000.0,259590076.3,,,,172200018.0,72039818017.0,4187777711.0,1947333333.0,1309384830.0,1425715406.0,28084252.76,329860091.9,1009760100.0,,286718279.7,,47923809672.0,,47937968235.0,,,241350000.0,,,31066819929.0,79798404.03,,16074027.35,1562303429.0,,453980096.7,102126000000.0,,241956910.7,6081009428.0,,,133951000000.0,,29296104890.0,,72039818017.0,47937968235.0,758899950.0,1214666667.0,17500000000.0,,,1037815126.0,,351131000000.0,1593675330.0,942500000000.0,,15350000.0,10034444444.0,,,,,2481350000000.0,,,,14894594048.0,1605857143.0,1479599900.0
,39248424433.0,1408888922.0,16882094303.0,,,,38236378393.0,,31256284544.0,,,,36686079068.0,13582798556.0,,190205714.3,23710735895.0,330748211.5,478298597.6,8471006101.0,,,528137254.9,,,47305389.22,164900000.0,929629629.6,37171640819.0,,161211289.7,,77356914.08,188039191.3,79148411662.0,,20524886616.0,,8377093023.0,79705906247.0,1361360157.0,1100551379.0,5032434970.0,265040036.1,6450175214.0,,,853630203.8,3359706536.0,,,,,,,,,15414902267.0,1230500000.0,4257218772.0,114786000000.0,267751000000.0,346812000000.0,,920458000000.0,3112166848.0,6524455206.0,579333000000.0,,36038711600.0,,,,44446079179.0,10070766721.0,182182067.7,141903000000.0,,,318124701.0,116465000000.0,,1962051319.0,,,45168722.7,,67225714.29,11615657031.0,,,1715399900.0,,249300000.0,2183670000000.0,3189740055.0,668000050.0,30708658406.0,,391820400.0,,527216000000.0,595912000000.0,67380577689.0,22860641669.0,8337423313.0,45818566360.0,,58447995017.0,,3787077344.0,9743089607.0,3008120975.0,414709311.4,5329333333.0,97085082807.0,1191287652.0,698963875.7,172204000000.0,,1458379415.0,,978873232.4,,15850000.0,7678581344.0,2769532344.0,133326000000.0,,,,,,160653000000.0,,,,1965546218.0,156524000000.0,566770000000.0,65966680.67,303643000000.0,,1234878981.0,,,,3651615453.0,,,1056391055.0,,49164893255.0,32480000000.0,,545562000000.0,,339913833.1,,551379225.9,32796053520.0,,,,,295062138.1,,265810632.4,3664575983.0,1099210000000.0,,263108841.1,625867922.7,6634187316.0,747971449.6,34035946604.0,11063065083.0,788641965.4,,5761588762.0,2205470000000.0,239980801.5,,8683116338.0,1221305700.0,6420909790.0,9571800653.0,,551237316.6,,35923881390.0,4460700000.0,,6969025826.0,556293650.8,,,2144880000000.0,242943776.9,,,,188700037.0,79195490145.0,4485777644.0,2144333333.0,1245234807.0,1659904613.0,28606411.4,408690163.5,1049400000.0,,306357284.6,,54802073010.0,,54816104627.0,,,259650000.0,,,33738102482.0,105417891.6,,16452027.99,1796596911.0,,471635620.9,114624000000.0,,267732446.4,6695336567.0,,,149580000000.0,,32503318993.0,,79195490145.0,54816104627.0,779200000.0,1289904762.0,19466666667.0,,,1169047619.0,,393559000000.0,2004435484.0,1019900000000.0,,16650000.0,10285111111.0,,,,,2736900000000.0,,,,16780393295.0,1965714286.0,1747998800.0
