Datetime,DAYTON,FE,DOM,EKPC,DEOK,DUQ,AEP,COMED
2013-01-01,44577.0,169861.0,257275.0,30445.0,70931.0,38318.0,363262.0,254325.0
2013-01-02,54276.0,205432.0,281523.0,30445.0,80503.0,43320.0,419942.0,293024.0
2013-01-03,56095.0,213705.0,302457.0,30445.0,82671.0,44038.0,434550.0,298284.0
2013-01-04,53336.0,205338.0,303536.0,30445.0,78331.0,43548.0,429182.0,297474.0
2013-01-05,48723.0,185442.0,276465.0,30445.0,74279.0,39977.0,393119.0,270802.0
2013-01-06,46002.0,176332.0,255372.0,30445.0,71059.0,38030.0,365944.0,255196.0
2013-01-07,52063.0,199370.0,271650.0,30445.0,78426.0,42183.0,406619.0,290148.0
2013-01-08,51970.0,201535.0,287733.0,30445.0,77282.0,42094.0,416355.0,284851.0
2013-01-09,49448.0,194680.0,264062.0,30445.0,72812.0,41865.0,390290.0,277831.0
2013-01-10,51467.0,197573.0,247376.0,30445.0,77549.0,41186.0,391757.0,283053.0
2013-01-11,46187.0,188371.0,263657.0,30445.0,69081.0,39599.0,364472.0,268467.0
2013-01-12,40328.0,161409.0,228762.0,30445.0,62217.0,34343.0,318520.0,243864.0
2013-01-13,37847.0,155473.0,219004.0,30445.0,60686.0,32354.0,306726.0,255349.0
2013-01-14,52269.0,195690.0,227661.0,30445.0,79047.0,36377.0,380527.0,298622.0
2013-01-15,54302.0,203696.0,267424.0,30445.0,82651.0,40123.0,411886.0,297887.0
2013-01-16,52468.0,201288.0,275917.0,30445.0,80466.0,41096.0,409066.0,296079.0
2013-01-17,51566.0,200285.0,275591.0,30445.0,78207.0,41125.0,407377.0,288596.0
2013-01-18,52765.0,202403.0,294901.0,30445.0,79523.0,41595.0,411633.0,290470.0
2013-01-19,44635.0,172507.0,278251.0,30445.0,68373.0,36966.0,371518.0,254287.0
2013-01-20,44344.0,172366.0,243399.0,30445.0,68070.0,36266.0,360539.0,264303.0
2013-01-21,56753.0,207679.0,271589.0,30445.0,83726.0,44102.0,434383.0,310091.0
2013-01-22,62185.0,225840.0,329530.0,30445.0,93374.0,47840.0,487307.0,325680.0
2013-01-23,61060.0,225784.0,358218.0,30445.0,92474.0,48374.0,487904.0,321098.0
2013-01-24,58973.0,219003.0,354864.0,30445.0,89699.0,47501.0,471922.0,318512.0
2013-01-25,57311.0,219317.0,382137.0,30445.0,88632.0,46929.0,477192.0,306561.0
2013-01-26,50295.0,194635.0,333859.0,30445.0,79601.0,42011.0,417962.0,276200.0
2013-01-27,48862.0,186603.0,307394.0,30445.0,78061.0,40378.0,404600.0,265639.0
2013-01-28,50337.0,199678.0,303983.0,30445.0,75426.0,42287.0,400002.0,274489.0
2013-01-29,46058.0,188463.0,242390.0,30445.0,68637.0,40208.0,357323.0,268736.0
2013-01-30,45831.0,182211.0,224849.0,30445.0,68928.0,39097.0,349748.0,279206.0
2013-01-31,55632.0,208803.0,242539.0,30445.0,82998.0,42955.0,424211.0,311167.0
2013-02-01,60323.0,218572.0,310459.0,30445.0,91456.0,45628.0,469025.0,322046.0
2013-02-02,54193.0,200605.0,330045.0,30445.0,83443.0,43161.0,449944.0,289514.0
2013-02-03,49876.0,187629.0,295209.0,30445.0,79420.0,41418.0,408051.0,275813.0
2013-02-04,56340.0,212262.0,313157.0,30445.0,86301.0,45138.0,444966.0,298750.0
2013-02-05,53485.0,208959.0,280263.0,30445.0,80303.0,43749.0,416292.0,302124.0
2013-02-06,51743.0,205631.0,269672.0,30445.0,79314.0,43438.0,403179.0,290166.0
2013-02-07,49851.0,202992.0,291371.0,30445.0,74856.0,43749.0,404904.0,290907.0
2013-02-08,50297.0,204116.0,281831.0,30445.0,75245.0,42788.0,400350.0,292541.0
2013-02-09,47047.0,186539.0,278966.0,30445.0,73048.0,39793.0,380579.0,264745.0
2013-02-10,44219.0,175978.0,283691.0,30445.0,69861.0,38181.0,367357.0,251381.0
2013-02-11,48284.0,192138.0,258527.0,30445.0,70751.0,38431.0,370255.0,285545.0
2013-02-12,49797.0,202176.0,238896.0,30445.0,73404.0,40152.0,385518.0,291718.0
2013-02-13,51833.0,203052.0,261325.0,30445.0,78678.0,41520.0,403105.0,282301.0
2013-02-14,50950.0,202038.0,271090.0,30445.0,76601.0,41494.0,400992.0,280796.0
2013-02-15,50970.0,197382.0,261932.0,30445.0,75566.0,40251.0,401980.0,280982.0
2013-02-16,51013.0,184615.0,275586.0,30445.0,77388.0,39239.0,397677.0,274648.0
2013-02-17,49180.0,184465.0,315945.0,30445.0,76299.0,40722.0,416326.0,263157.0
2013-02-18,51880.0,204712.0,321165.0,30445.0,77033.0,44123.0,427541.0,278811.0
2013-02-19,53394.0,207477.0,287665.0,30445.0,79499.0,42357.0,412456.0,306007.0
2013-02-20,57431.0,218120.0,288022.0,30445.0,84413.0,45911.0,439951.0,308418.0
2013-02-21,56087.0,215938.0,305468.0,30445.0,83976.0,45385.0,436705.0,304025.0
2013-02-22,53251.0,208074.0,302698.0,30445.0,79104.0,44100.0,408064.0,295105.0
2013-02-23,44284.0,179298.0,270914.0,30445.0,69164.0,38345.0,354538.0,265197.0
2013-02-24,44310.0,176030.0,241708.0,30445.0,69456.0,38813.0,355542.0,248964.0
2013-02-25,51071.0,196180.0,286692.0,30445.0,76697.0,41432.0,402502.0,275373.0
2013-02-26,51757.0,204232.0,297114.0,30445.0,75847.0,42275.0,412731.0,290598.0
2013-02-27,51457.0,199856.0,247350.0,30445.0,77424.0,41483.0,400125.0,286451.0
2013-02-28,52612.0,203040.0,261842.0,30445.0,80411.0,42513.0,417539.0,285144.0
2013-03-01,50855.0,201878.0,274177.0,30445.0,77514.0,42581.0,408394.0,288555.0
2013-03-02,48459.0,186409.0,277077.0,30445.0,76308.0,39904.0,394594.0,263087.0
2013-03-03,45855.0,182262.0,281687.0,30445.0,74911.0,39143.0,395618.0,252254.0
2013-03-04,51401.0,201916.0,294231.0,30445.0,79763.0,42967.0,415563.0,286779.0
2013-03-05,52324.0,202955.0,284584.0,30445.0,78460.0,42580.0,409147.0,288327.0
2013-03-06,52481.0,197929.0,296059.0,30445.0,82583.0,41537.0,420041.0,286004.0
2013-03-07,51031.0,196471.0,276719.0,30445.0,79421.0,41735.0,412578.0,278328.0
